48 0:0 1:8 2:12 3:6 4:4 5:4 6:4 7:4 8:4 9:4 10:4 11:6 12:12 13:8 14:0 15:0 16:5 17:7 18:4 19:4 20:4 21:4 22:4 23:4 24:4 25:4 26:4 27:4 28:4 29:4 30:4 31:4 32:7 33:5
49 0:0 1:0 2:0 3:4 4:5 5:4 6:4 7:18 8:18 9:2 10:2 11:2 12:2 13:0 14:0 15:0 16:2 17:5 18:6 19:4 20:2 21:2 22:2 23:2 24:2 25:2 26:2 27:2 28:2 29:2 30:2 31:2 32:10 33:10
50 0:0 1:0 2:5 3:6 4:6 5:6 6:6 7:6 8:6 9:6 10:6 11:9 12:6 13:0 14:0 15:0 16:6 17:10 18:4 19:2 20:2 21:2 22:2 23:2 24:2 25:2 26:2 27:2 28:2 29:2 30:2 31:2 32:11 33:11
50 0:0 1:0 2:5 3:6 4:6 5:6 6:6 7:6 8:6 9:6 10:6 11:9 12:6 13:0 14:0 15:0 16:6 17:10 18:4 19:2 20:2 21:2 22:2 23:2 24:2 25:2 26:2 27:2 28:2 29:2 30:2 31:2 32:11 33:11
50 0:0 1:0 2:5 3:6 4:6 5:6 6:6 7:6 8:6 9:6 10:6 11:9 12:6 13:0 14:0 15:0 16:6 17:10 18:4 19:2 20:2 21:2 22:2 23:2 24:2 25:2 26:2 27:2 28:2 29:2 30:2 31:2 32:11 33:11
50 0:0 1:0 2:5 3:6 4:6 5:6 6:6 7:6 8:6 9:6 10:6 11:9 12:6 13:0 14:0 15:0 16:6 17:10 18:4 19:2 20:2 21:2 22:2 23:2 24:2 25:2 26:2 27:2 28:2 29:2 30:2 31:2 32:11 33:11
51 0:0 1:0 2:4 3:4 4:6 5:6 6:6 7:6 8:7 9:9 10:12 11:11 12:4 13:0 14:0 15:0 16:6 17:9 18:4 19:2 20:2 21:2 22:2 23:3 24:5 25:7 26:3 27:3 28:2 29:2 30:2 31:4 32:10 33:7
52 0:0 1:2 2:4 3:5 4:5 5:4 6:5 7:5 8:5 9:5 10:18 11:18 12:2 13:2 14:0 15:0 16:2 17:3 18:4 19:5 20:5 21:4 22:4 23:4 24:4 25:5 26:4 27:13 28:13 29:2 30:2 31:2 32:2 33:2
52 0:0 1:2 2:4 3:5 4:5 5:4 6:5 7:5 8:5 9:5 10:18 11:18 12:2 13:2 14:0 15:0 16:2 17:3 18:4 19:5 20:5 21:4 22:4 23:4 24:4 25:5 26:4 27:13 28:13 29:2 30:2 31:2 32:2 33:2
53 0:0 1:0 2:11 3:11 4:6 5:6 6:6 7:6 8:6 9:6 10:8 11:9 12:7 13:0 14:0 15:0 16:11 17:11 18:2 19:2 20:2 21:2 22:2 23:6 24:9 25:4 26:3 27:2 28:2 29:2 30:3 31:4 32:9 33:6
53 0:0 1:0 2:11 3:11 4:6 5:6 6:6 7:6 8:6 9:6 10:8 11:9 12:7 13:0 14:0 15:0 16:11 17:11 18:2 19:2 20:2 21:2 22:2 23:6 24:9 25:4 26:3 27:2 28:2 29:2 30:3 31:4 32:9 33:6
54 0:0 1:8 2:12 3:7 4:7 5:6 6:6 7:6 8:6 9:6 10:7 11:8 12:9 13:5 14:0 15:0 16:6 17:9 18:4 19:3 20:2 21:2 22:2 23:8 24:10 25:7 26:6 27:4 28:4 29:3 30:5 31:5 32:8 33:5
55 0:0 1:0 2:2 3:4 4:7 5:6 6:6 7:6 8:5 9:5 10:5 11:5 12:4 13:3 14:0 15:0 16:12 17:12 18:3 19:2 20:2 21:2 22:2 23:2 24:2 25:2 26:2 27:2 28:2 29:3 30:2 31:2 32:2 33:2
56 0:0 1:4 2:11 3:11 4:9 5:8 6:6 7:7 8:7 9:8 10:9 11:11 12:10 13:4 14:0 15:0 16:6 17:9 18:6 19:4 20:4 21:5 22:5 23:7 24:5 25:8 26:6 27:5 28:4 29:4 30:5 31:6 32:10 33:6
56 0:0 1:4 2:11 3:11 4:9 5:8 6:6 7:7 8:7 9:8 10:9 11:11 12:10 13:4 14:0 15:0 16:6 17:9 18:6 19:4 20:4 21:5 22:5 23:7 24:5 25:8 26:6 27:5 28:4 29:4 30:5 31:6 32:10 33:6
57 0:0 1:5 2:10 3:9 4:6 5:6 6:6 7:6 8:6 9:6 10:7 11:8 12:11 13:7 14:0 15:0 16:5 17:9 18:5 19:4 20:3 21:4 22:4 23:4 24:6 25:7 26:10 27:7 28:1 29:2 30:2 31:5 32:9 33:6
